method_id,method,metric,p05,median,p95,mean
reusable_age_token,Reusable third-party age token,cost_per_minor_consumption_prevented,40.8865807217722,81.24753184752308,161.37507067892196,88.6933624977761
in_person_enrolment,In-person enrolment for later online access,minor_purchases_prevented,2663.4051141384616,3536.569797840738,4600.586888754521,3571.821649449205
in_person_enrolment,In-person enrolment for later online access,minor_substitution_events,823.7076446173077,1573.406576405467,2525.833067332402,1609.6969332772967
in_person_enrolment,In-person enrolment for later online access,minor_consumption_prevented,1138.3104549226932,1918.0937413455517,2946.5144194215077,1962.1247161719077
in_person_enrolment,In-person enrolment for later online access,minor_purchases_permitted,310.23723902844097,597.9440493209186,1020.1945165157298,623.5010886378199
in_person_enrolment,In-person enrolment for later online access,adult_false_rejections,128.8755090158511,308.1458788355518,630.5318745145477,335.25487237724053
in_person_enrolment,In-person enrolment for later online access,adult_abandonments,4821.17186771977,7641.278407341493,11091.15941587593,7755.729279862323
in_person_enrolment,In-person enrolment for later online access,adult_adverse_outcomes,5182.5513912177275,7977.421565415605,11417.07867365671,8090.9841522395645
in_person_enrolment,In-person enrolment for later online access,higher_friction_adult_adverse_outcomes,1079.0841380786685,1897.4230841856684,2988.79377308042,1946.7169407064882
in_person_enrolment,In-person enrolment for later online access,adult_adverse_outcomes_per_minor_purchase_prevented,1.4854752792955181,2.2607765050185673,3.204212550303973,2.293359375445317
in_person_enrolment,In-person enrolment for later online access,adult_adverse_outcomes_per_minor_consumption_prevented,2.4432741231936523,4.152315880187253,7.276609899369612,4.41053320662705
in_person_enrolment,In-person enrolment for later online access,adult_checks_per_minor_purchase_prevented,4.669804045308422,5.731703435205569,7.060851179310014,5.7834841908114845
in_person_enrolment,In-person enrolment for later online access,identity_proofing_events,2300.5316161254163,4930.2302423758165,8571.319084880643,5126.541553835475
in_person_enrolment,In-person enrolment for later online access,identity_records_created,2093.2836320886436,4798.83131921024,9338.733417890668,5132.61323613728
in_person_enrolment,In-person enrolment for later online access,centralized_identity_records,949.4711185448551,2463.386228175644,5501.345492230487,2739.39090049115
in_person_enrolment,In-person enrolment for later online access,centralized_records_at_risk,1943.8059798633028,7014.328522061678,20874.553876968203,8648.702653396178
in_person_enrolment,In-person enrolment for later online access,expected_routine_records_exposed,12.269729204329213,63.25297188166931,257.4279896383076,89.45263558456
in_person_enrolment,In-person enrolment for later online access,expected_catastrophic_records_exposed,1.4646490483849253,9.790797641688503,47.995681828511024,15.355734486963986
in_person_enrolment,In-person enrolment for later online access,expected_records_exposed,16.366571873159806,76.46262402504561,290.8342959278152,104.80837007152397
in_person_enrolment,In-person enrolment for later online access,transient_identity_images,632.8821980662624,2321.2042768836245,5384.400659652884,2567.4112401627326
in_person_enrolment,In-person enrolment for later online access,biometric_scans,22.594843347427666,267.8486616368177,905.0563401991525,340.9256968646894
in_person_enrolment,In-person enrolment for later online access,credential_assertions,13906.325296412131,20225.293199120046,26978.156799299875,20308.615116119992
in_person_enrolment,In-person enrolment for later online access,third_party_disclosures,16183.324616529892,23044.80909845356,30840.509128355905,23210.898056136444
in_person_enrolment,In-person enrolment for later online access,total_annual_cost,146929.7198994788,244314.1981600249,383842.77123472485,252521.63417211006
in_person_enrolment,In-person enrolment for later online access,cost_per_minor_purchase_prevented,39.572570810997895,68.88157176149792,116.77011580560931,72.47147552714097
in_person_enrolment,In-person enrolment for later online access,cost_per_minor_consumption_prevented,66.30212592002916,128.13841114449804,251.34093108513434,139.46703123538643
